SKU,Description,QOH,Retail
ZZ004342555001,TIMBERTECH 1X6 GREY GRVD,3/16' & 3/20',6.99
ZZ004265276001,4/4X11 1/4X12' HARDIE SMOOTH,8,77.99
ZZ004288511002,HU11 FACE MOUNT HANGER,6,16.99
ZZ004360598001,BLACK CORRUGATED ROOFING PANEL,6,21.99
ZZ004786910006,HOG SPRAY/PRIMER,5,19.99
ZZ004308437001,"1/8"" THK1-1/2X1-1/2X72"" ALMNM",4,36.4
ZZ004226355001,6X4/4 ALLURA TRIM CM,3,30.49
ZZ004653980002,"55"" X 55"" FIXED SKYLITE",1,404.05
ZZ004046277007,SIMPSON STEEL STRONG WALL 24X8,1,1329.99
ZZ004180671001,1X6X16' WINDSOR ONE T&G WP4,1,52.99
ZZ004180671018,1X8X16' WINDSOR ONE SHIP LAP,1,68.99
ZZ004320398001,#10X2-34 TORC GRAY SCREW(TRX),1,14.99
ZZ004320398002,#10X2-3/4GRAY SCREWS 350CT TRX,1,48.99
ZZ004320398003,#10X2-3/4 GRAY SCREWS 1750CT,1,218.89
ZZ004328050001,LAMP HES3D-140 DOOR / JAMB,1,149.99
ZZ004653980001,"34"" X 64"" OPERABLE SKYLITE",1,512.94
